month,year,module,trt,habitat,RICHNESSF_NACE,SHANNON
AUG,2009,1,C,veg,0,0
AUG,2009,1,X,veg,2,0.34883209584303193
AUG,2009,10,C,unveg,0,0
AUG,2009,10,X,unveg,0,0
AUG,2009,11,C,veg,0,0
AUG,2009,11,X,veg,0,0
AUG,2009,12,C,veg,1,0
AUG,2009,12,X,veg,0,0
AUG,2009,13,C,unveg,1,0
AUG,2009,13,X,unveg,1,0
AUG,2009,14,C,unveg,0,0
AUG,2009,14,X,unveg,1,0
AUG,2009,15,C,unveg,2,0.4505612088663047
AUG,2009,15,X,unveg,0,0
AUG,2009,16,C,unveg,0,0
AUG,2009,16,X,unveg,1,0
AUG,2009,2,C,veg,1,0
AUG,2009,2,X,veg,0,0
AUG,2009,3,C,veg,1,0
AUG,2009,3,X,veg,0,0
AUG,2009,4,C,veg,0,0
AUG,2009,4,X,veg,3,0.4386402920379253
AUG,2009,5,C,unveg,0,0
AUG,2009,5,X,unveg,0,0
AUG,2009,6,C,unveg,0,0
AUG,2009,6,X,unveg,0,0
AUG,2009,7,C,veg,1,0
AUG,2009,7,X,veg,1,0
AUG,2009,8,C,veg,1,0
AUG,2009,8,X,veg,1,0
AUG,2009,9,C,unveg,0,0
AUG,2009,9,X,unveg,0,0
AUG,2010,1,C,veg,0,0
AUG,2010,1,X,veg,3,0.27711335749145577
AUG,2010,10,C,unveg,0,0
AUG,2010,10,X,unveg,1,0
AUG,2010,11,C,veg,0,0
AUG,2010,11,X,veg,1,0
AUG,2010,12,C,veg,2,0.19144408195771723
AUG,2010,12,X,veg,1,0
AUG,2010,13,C,unveg,0,0
AUG,2010,13,X,unveg,1,0
AUG,2010,14,C,unveg,1,0
AUG,2010,14,X,unveg,2,0.5799151714181009
AUG,2010,15,C,unveg,1,0
AUG,2010,15,X,unveg,3,0.36607281037549244
AUG,2010,16,C,unveg,0,0
AUG,2010,16,X,unveg,2,0.32508297339144826
AUG,2010,2,C,veg,0,0
AUG,2010,2,X,veg,1,0
AUG,2010,3,C,veg,0,0
AUG,2010,3,X,veg,2,0.4505612088663048
AUG,2010,4,C,veg,0,0
AUG,2010,4,X,veg,4,1.0888999753452235
AUG,2010,5,C,unveg,1,0
AUG,2010,5,X,unveg,0,0
AUG,2010,6,C,unveg,0,0
AUG,2010,6,X,unveg,0,0
AUG,2010,7,C,veg,2,0.1833494680899324
AUG,2010,7,X,veg,2,0.24493002679463532
AUG,2010,8,C,veg,1,0
AUG,2010,8,X,veg,1,0
AUG,2010,9,C,unveg,0,0
AUG,2010,9,X,unveg,2,0.5623351446188083
AUG,2011,1,C,veg,0,0
AUG,2011,1,X,veg,2,0.5004024235381879
AUG,2011,10,C,unveg,0,0
AUG,2011,10,X,unveg,3,0.2758548878945378
AUG,2011,11,C,veg,0,0
AUG,2011,11,X,veg,3,0.20060153982720352
AUG,2011,12,C,veg,1,0
AUG,2011,12,X,veg,6,1.3778714778738588
AUG,2011,13,C,unveg,0,0
AUG,2011,13,X,unveg,1,0
AUG,2011,14,C,unveg,1,0
AUG,2011,14,X,unveg,5,0.5981093479397885
AUG,2011,15,C,unveg,2,0.6365141682948128
AUG,2011,15,X,unveg,5,1.2427548702145692
AUG,2011,16,C,unveg,0,0
AUG,2011,16,X,unveg,5,0.9587446720994084
AUG,2011,2,C,veg,0,0
AUG,2011,2,X,veg,3,0.1919467029825121
AUG,2011,3,C,veg,0,0
AUG,2011,3,X,veg,3,0.7001611840565406
AUG,2011,4,C,veg,0,0
AUG,2011,4,X,veg,2,0.362210557135449
AUG,2011,5,C,unveg,1,0
AUG,2011,5,X,unveg,1,0
AUG,2011,6,C,unveg,0,0
AUG,2011,6,X,unveg,1,0
AUG,2011,7,C,veg,1,0
AUG,2011,7,X,veg,2,0.336495757583516
AUG,2011,8,C,veg,1,0
AUG,2011,8,X,veg,1,0
AUG,2011,9,C,unveg,0,0
AUG,2011,9,X,unveg,2,0.12045603384922707
AUG,2012,1,C,veg,0,0
AUG,2012,1,X,veg,5,1.043995586953313
AUG,2012,10,C,unveg,0,0
AUG,2012,10,X,unveg,2,0.25007403146624585
AUG,2012,11,C,veg,1,0
AUG,2012,11,X,veg,3,0.6055525970051006
AUG,2012,12,C,veg,1,0
AUG,2012,12,X,veg,6,1.0737041461844132
AUG,2012,13,C,unveg,0,0
AUG,2012,13,X,unveg,4,1.2614862851642719
AUG,2012,14,C,unveg,2,0.1425058673927379
AUG,2012,14,X,unveg,7,1.0356964881034847
AUG,2012,15,C,unveg,2,0.410116318288409
AUG,2012,15,X,unveg,9,1.2391471575412236
AUG,2012,16,C,unveg,0,0
AUG,2012,16,X,unveg,4,0.7610779573349479
AUG,2012,2,C,veg,0,0
AUG,2012,2,X,veg,2,0.5235863374812598
AUG,2012,3,C,veg,1,0
AUG,2012,3,X,veg,6,1.4348368823981208
AUG,2012,4,C,veg,0,0
AUG,2012,4,X,veg,6,0.9575269936421442
AUG,2012,5,C,unveg,1,0
AUG,2012,5,X,unveg,1,0
AUG,2012,6,C,unveg,0,0
AUG,2012,6,X,unveg,1,0
AUG,2012,7,C,veg,1,0
AUG,2012,7,X,veg,3,0.7273876291758027
AUG,2012,8,C,veg,1,0
AUG,2012,8,X,veg,1,0
AUG,2012,9,C,unveg,0,0
AUG,2012,9,X,unveg,3,0.6510417630786811
AUG,2013,1,C,veg,0,0
AUG,2013,1,X,veg,6,1.4714544495071369
AUG,2013,10,C,unveg,0,0
AUG,2013,10,X,unveg,3,0.3286437898316732
AUG,2013,11,C,veg,1,0
AUG,2013,11,X,veg,3,0.3785885505203874
AUG,2013,12,C,veg,1,0
AUG,2013,12,X,veg,5,1.1291921139338394
AUG,2013,13,C,unveg,0,0
AUG,2013,13,X,unveg,3,0.8385696937829805
AUG,2013,14,C,unveg,3,0.3153962874226618
AUG,2013,14,X,unveg,8,1.2609201807886197
AUG,2013,15,C,unveg,2,0.6365141682948128
AUG,2013,15,X,unveg,7,1.3590127815942616
AUG,2013,16,C,unveg,0,0
AUG,2013,16,X,unveg,7,1.5216347884746608
AUG,2013,2,C,veg,0,0
AUG,2013,2,X,veg,4,0.574948866017008
AUG,2013,3,C,veg,1,0
AUG,2013,3,X,veg,6,1.5886453350818508
AUG,2013,4,C,veg,0,0
AUG,2013,4,X,veg,9,1.2828518812920129
AUG,2013,5,C,unveg,1,0
AUG,2013,5,X,unveg,3,0.08707024916037993
AUG,2013,6,C,unveg,0,0
AUG,2013,6,X,unveg,5,0.3049684178110836
AUG,2013,7,C,veg,1,0
AUG,2013,7,X,veg,2,0.2944550731983212
AUG,2013,8,C,veg,1,0
AUG,2013,8,X,veg,1,0
AUG,2013,9,C,unveg,0,0
AUG,2013,9,X,unveg,5,1.036365206462228
AUG,2014,1,C,veg,1,0
AUG,2014,1,X,veg,7,1.5897524861643417
AUG,2014,10,C,unveg,0,0
AUG,2014,10,X,unveg,4,0.7114706793130398
AUG,2014,11,C,veg,2,0.010147456161249225
AUG,2014,11,X,veg,5,1.2283475881175074
AUG,2014,12,C,veg,1,0
AUG,2014,12,X,veg,5,1.2842816536747703
AUG,2014,13,C,unveg,0,0
AUG,2014,13,X,unveg,6,1.1021800774479915
AUG,2014,14,C,unveg,1,0
AUG,2014,14,X,unveg,8,1.8051326162492936
AUG,2014,15,C,unveg,1,0
AUG,2014,15,X,unveg,9,1.311343416363647
AUG,2014,16,C,unveg,0,0
AUG,2014,16,X,unveg,6,1.5262414091551104
AUG,2014,2,C,veg,0,0
AUG,2014,2,X,veg,5,0.6483724326525794
AUG,2014,3,C,veg,1,0
AUG,2014,3,X,veg,5,0.7954452004473129
AUG,2014,4,C,veg,1,0
AUG,2014,4,X,veg,4,0.8988202525746649
AUG,2014,5,C,unveg,0,0
AUG,2014,5,X,unveg,1,0
AUG,2014,6,C,unveg,1,0
AUG,2014,6,X,unveg,3,0.3861694035969376
AUG,2014,7,C,veg,1,0
AUG,2014,7,X,veg,2,0.482577565177012
AUG,2014,8,C,veg,1,0
AUG,2014,8,X,veg,1,0
AUG,2014,9,C,unveg,0,0
AUG,2014,9,X,unveg,5,1.0686650221742915
AUG,2015,1,C,veg,1,0
AUG,2015,1,X,veg,7,1.6379940464723175
AUG,2015,10,C,unveg,0,0
AUG,2015,10,X,unveg,5,1.0471483644065969
AUG,2015,11,C,veg,2,0.2145591551764051
AUG,2015,11,X,veg,6,1.2560708085983556
AUG,2015,12,C,veg,1,0
AUG,2015,12,X,veg,6,1.449953232263676
AUG,2015,13,C,unveg,1,0
AUG,2015,13,X,unveg,5,0.95920620010926
AUG,2015,14,C,unveg,5,1.2267810060265336
AUG,2015,14,X,unveg,8,1.9283097627042756
AUG,2015,15,C,unveg,2,0.6172417697303416
AUG,2015,15,X,unveg,7,1.3697418479662875
AUG,2015,16,C,unveg,0,0
AUG,2015,16,X,unveg,8,1.2703547059443887
AUG,2015,2,C,veg,0,0
AUG,2015,2,X,veg,5,1.0865671759254274
AUG,2015,3,C,veg,3,0.44375728426014843
AUG,2015,3,X,veg,7,1.30359905199838
AUG,2015,4,C,veg,1,0
AUG,2015,4,X,veg,7,1.63252524501891
AUG,2015,5,C,unveg,0,0
AUG,2015,5,X,unveg,2,0.38721237518636054
AUG,2015,6,C,unveg,0,0
AUG,2015,6,X,unveg,3,0.625484967268576
AUG,2015,7,C,veg,1,0
AUG,2015,7,X,veg,2,0.34883209584303193
AUG,2015,8,C,veg,1,0
AUG,2015,8,X,veg,1,0
AUG,2015,9,C,unveg,0,0
AUG,2015,9,X,unveg,5,1.3862933117762504
JUN,2009,1,C,veg,1,0
JUN,2009,1,X,veg,1,0
JUN,2009,10,C,unveg,0,0
JUN,2009,10,X,unveg,0,0
JUN,2009,11,C,veg,1,0
JUN,2009,11,X,veg,2,0.410116318288409
